Id,Name,Interests
7HcPEtoAAAAJ,Kelvin Zhanda,Rural and Urban Planning
nlMZBmEAAAAJ,Prof. Jephat Chifamba,"Physiology,Non Communicable Diseases e.g Hypertension,Diabetes,orphan care and trauma,Trafficking in Person prevention"
AKAkKtMAAAAJ,Florence Mtambanengwe,"Soil fertility management,C and N cycling,Biological nitrogen fixation,Climate change adaptation,Farming systems analysis"
S19mmOsAAAAJ,Willis Gwenzi,"Ecohydrology,medical geology,environmental hydrology,environmental remediation,waste management"
8si8Hw0AAAAJ,Gilbert Pwiti,"World prehistory,archaeology of farming communities,eastern and southern Africa,archaeological theory,heritage management"
MirFYRYAAAAJ,Claver Pedzisai Bhunu,Mathematical Biology and Dynamical Systems
WklAEjgAAAAJ,Timothy Gutu,"Materials Science,Nanoscience and Nanotechnology,Electron Microscopy,Advanced Materials Characterization"
mlb0A-kAAAAJ,Pfukenyi Davies Mubika,"Veterinary Epidemiology,Research Methods & Biostatistics,Animal Health Economics,Veterinary Science"
Tktbhn8AAAAJ,Menas Wuta,"Soil Science,Agronomy,Environmental Science"
AQ6o5t8AAAAJ,Professor Innocent Chirisa,"Housing,Environmental Planning,Urbanisation"
eO7222gAAAAJ,Mark F. Zaranyika,"Plasmaspectrochemistry,environmental chemistry"
XVIV3tIAAAAJ,Simon Mukwembi,Graph theory
5fW0HIsAAAAJ,Tinyiko Halimani,"Genetics,Animal Science,Biostatistics"
XIM8Yi0AAAAJ,Jeofrey Matai,"Systems Thinking,Urban Planning,Urban Design,Spatial Planning,Regional Planning"
fg8ftlEAAAAJ,Steady Mushayabasa,"Mathematical Biology,Mathematical Ecology,Mathematical Demography"
jlaUV7UAAAAJ,M. Masocha (PhD),Remote Sensing GIS
qWKAB7UAAAAJ,Kefasi Nyikahadzoi,"Agro-ecological systems,natural resources management"
HFzNRK0AAAAJ,Dexter Tagwireyi,"Toxicology,Neuropharmacology,Toxinology,Venoms,Natural Products"
HjF0ExEAAAAJ,Obert Jiri,"Agronomy,Climate change adaptation,nutrient cycling,soil fertility,farming systems"
EE22x8QAAAAJ,Samuel Kusangaya,"climate change,GIS & Remote Sensing,hydrology,Water Resources Management"
IeL_5kcAAAAJ,Manase Chiweshe,"Sociology of everyday life,football,agrarian question,livelihoods,gender"
w54_uEQAAAAJ,Terence Mushore,"Meteorology,Climate Science,Disaster management,GIS and Remote Sensing"
5vIdm8cAAAAJ,Hatirarami Nezomba,"Soil Fertility Management,Land degradation,Agroecology,Natural Resource Management,Farming Systems Analysis"
0G31vN8AAAAJ,Edmore Gasura,
AADoDsgAAAAJ,Maria Goss,Horticulture
qFHgbmYAAAAJ,Elizabeth Ngadze,Plant Pathology
vZUJxMsAAAAJ,ignatio madanhire,cleaner production and waste management
HOU1amYAAAAJ,Batsirai chipurura,Food Biochemistry
ypm_YP4AAAAJ,Teddious Mhizha,"Agricultural Meteorology,Climatology,Climate Change,Bio-systems Engineering"
vrdSU9MAAAAJ,James January,Public Health
DFt8OAYAAAAJ,U. Mazarura,"Biotic & Abiotic stresses,Climate Change,Root and Tuber crops,Seed Science Technology,Weather Indexed Crop Insurance"
HNg_eSoAAAAJ,Takawira Cuthbert Njenda,"power systems dynamics and control,renewable energy and distributed generation"
7fAqHzAAAAAJ,Tafireyi Chamboko,"Agricultural Economics,Marketing,Livestock economics"
y33S10oAAAAJ,Dr Matthew Chiwaridzo,"low back pain,sports science,physiotherapy,hiv and aids,adolescent health"
JNZiZk0AAAAJ,Prince Marowa,Plant Breeding and Genetics
5MRV1lcAAAAJ,Plaxedis I. Zvinorova,"Animal genetics,nutrition"
gsx-2UAAAAAJ,Byron Zamasiya,"Climate change adaptation,food security,agricultural markets,technology uptake,rural development"
